timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537433990115,31,Add_MainPage,200,OK,AddContact 1-1,text,true,,4039,446,1,2,31,0,2
1537433989143,31,Add_MainPage,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,4039,446,1,2,31,972,2
1537433990820,27,Add_ContactForm,200,OK,AddContact 1-1,text,true,,3239,474,1,2,27,0,0
1537433990146,27,Add_ContactForm,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,3239,474,1,2,27,984,0
1537433993774,61,Add_ContactAction,200,OK,AddContact 1-1,text,true,,2477,1632,1,2,61,0,1
1537433990847,61,Add_ContactAction,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,2477,1632,1,2,61,2927,1
1537433994717,27,Del_MainPage,200,OK,DeleteContact 2-1,text,true,,4517,446,1,2,27,0,1
1537433993729,27,Del_MainPage,200,"Number of samples in transaction : 2, number of failing samples : 0",DeleteContact 2-1,,true,,4517,446,1,2,27,989,1
1537433997736,26,Del_ContactFrom,200,OK,DeleteContact 2-1,text,true,,3402,479,1,2,26,0,0
1537433994745,26,Del_ContactFrom,200,"Number of samples in transaction : 2, number of failing samples : 0",DeleteContact 2-1,,true,,3402,479,1,2,26,2939,0
1537434000797,49,Del_Contact,200,OK,DeleteContact 2-1,text,true,,2482,508,1,2,49,0,1
1537433997763,49,Del_Contact,200,"Number of samples in transaction : 2, number of failing samples : 0",DeleteContact 2-1,,true,,2482,508,1,2,49,2928,1
1537434001828,25,Add_MainPage,200,OK,AddContact 1-1,text,true,,4039,446,1,2,25,0,0
1537434000842,25,Add_MainPage,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,4039,446,1,2,25,986,0
1537434002828,14,Add_ContactForm,200,OK,AddContact 1-1,text,true,,3239,474,1,2,14,0,0
1537434001853,14,Add_ContactForm,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,3239,474,1,2,14,975,0
1537434006311,33,Add_ContactAction,200,OK,AddContact 1-1,text,true,,2477,1265,1,2,33,0,1
1537434002842,33,Add_ContactAction,200,"Number of samples in transaction : 2, number of failing samples : 0",AddContact 1-1,,true,,2477,1265,1,2,33,2925,1
1537434007281,24,Del_MainPage,200,OK,DeleteContact 2-1,text,true,,4396,446,1,2,23,0,1
1537434006297,24,Del_MainPage,200,"Number of samples in transaction : 2, number of failing samples : 0",DeleteContact 2-1,,true,,4396,446,1,2,23,984,1
1537434010236,25,Del_ContactFrom,200,OK,DeleteContact 2-1,text,true,,3314,479,1,2,25,0,0
1537434007305,25,Del_ContactFrom,200,"Number of samples in transaction : 2, number of failing samples : 0",DeleteContact 2-1,,true,,3314,479,1,2,25,2931,0
